Code,Acronym,Object Class,Definition,Distinction
11,BRIDGE,Bridge,"A structure erected over a depression or an obstacle such as a body of water, railroad, etc... to provide a roadway for vehicles, pedestrians or to carry utility services. (IHO Dictionary, S-32, 5th Edition, 544) ",pylon/bridge support;
12,BUISGL,"Building, single","A relatively permanent structure, roofed and usually walled.  It is designed for some particular use which it may be important to indicate. (Digital Geographic Information Working Group, Oct.87) ",built-up area; coastguard station; landmark; rescue station;
13,BUAARE,Built-up area,An area containing a concentration of buildings and the supporting road or rail infrastructure. ,"building, single; road; square; "
14,BOYCAR,"Buoy, cardinal","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO Dictionary S-32 5th Edition, 565). A cardinal buoy is used in conjunction with the compass to indicate where the mariner may find the best navigable water.  It is placed in one of the four quadrants (North, East, South and West), bounded by inter-cardinal bearings from the point marked. (UKHO NP 735, 5th Edition) ",buoy lateral; buoy safe water; buoy isolated danger; buoy special purpose/general; mooring/warping facility;
15,BOYINB,"Buoy, installation","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO Dictionary, S-32, 5th Edition, 565).  An installation buoy is a buoy used for loading tankers with gas or oil. (IHO Chart Specifications, M-4) ",buoy special purpose/general; mooring/warping facility; offshore platform;
16,BOYISD,"Buoy, isolated danger","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO Dictionary, S-32, 5th Edition, 565).  A isolated danger buoy is a buoy moored on or above an isolated danger of limited extent, which has navigable water all around it. (UKHO NP735, 5th Edition) ",buoy lateral; buoy safe water; buoy cardinal; buoy special purpose/general; mooring/warping facility;
17,BOYLAT,"Buoy, lateral","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO Dictionary, S-32, 5th Edition, 565). A lateral buoy is used to indicate the port or starboard hand side of the route to be followed.  They are generally used for well defined channels and are used in conjunction with a conventional direction of buoyage. (UKHO NP 735, 5th Edition) ",buoy cardinal; buoy safe water; buoy isolated danger; buoy special purpose/general; mooring/warping facility;
18,BOYSAW,"Buoy, safe water","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO Dictionary, S-32, 5th Edition, 565).  A safe water buoy is used to indicate that there is navigable water around the mark. (UKHO NP735, 5th Edition) ",buoy cardinal; buoy lateral; buoy isolated danger; buoy special purpose/general; mooring/warping facility;
19,BOYSPP,"Buoy, special purpose/general","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes. (IHO Dictionary, S-32, 5th Edition, 565).  A special purpose buoy is primarily used to indicate an area or feature, the nature of which is apparent from reference to a chart, Sailing Directions or Notices to Mariners. (UKHO NP 735, 5th Edition) Buoy in general: A buoy whose appearance or purpose is not adequately known. ",buoy lateral; buoy safe water; buoy isolated danger; buoy cardinal; buoy installation; mooring/warping facility;
20,CBLARE,Cable area,An area which contains one or more submarine cables. ,"cable, overhead; cable, submarine; "
21,CBLOHD,"Cable, overhead","An overhead cable is an assembly of wires or fibres, or a wire rope or chain, which is supported by structures such as poles or pylons and passing over or nearby navigable waters. (Hydrographic Service, Royal Australian Navy). ","cable area; cable, submarine; conveyor; pylon/bridge support; "
22,CBLSUB,"Cable, submarine","An assembly of wires or fibres, or a wire rope or chain which has been laid underwater or buried beneath the seabed (Hydrographic Service, Royal Australian Navy) ","cable, overhead; cable area; "
23,CANALS,Canal,"An artificial waterway with no flow, or a controlled flow, used for navigation, or for draining or irrigating land (ditch). (United States Geological Survey, Jan.89) ",canal bank; river; lake; tideway;
24,CANBNK,Canal bank,The limit line between the water area of a canal and the area of land. ,canal; coastline; lake shore; river bank; shoreline construction;
25,CTSARE,Cargo transhipment area,"An area designated for the transfer of cargo from one vessel to another. (adapted from IHO Dictionary, S-32, 5th Edition, 5593). ",dock area; harbour area (administrative); harbour facility;
26,CAUSWY,Causeway,"A raised way across low or wet ground or water. (IHO Dictionary, S-32, 5th Edition, 662) ",dam; road;
27,CTNARE,Caution area,"Generally, an area where the mariner has to be made aware of circumstances influencing the safety of navigation. ",wrecks; underwater rocks; obstructions; unsurveyed area;
28,CHKPNT,Checkpoint,"An official place to register, declare or check goods and people. ",custom zone;
29,CGUSTA,Coastguard station,"Watch keeping stations at which a watch is kept either continuously, or at certain times only. (IHO Chart Specifications, M-4) ","building, single; rescue station; "
30,COALNE,Coastline,"The line where shore and water meet.  Although the terminology of coasts and shores is rather confused, shoreline and coastline are generally used as synonyms. (IHO Dictionary, S-32, 5th Edition, 858,4695) ",canal bank; lake shore; river bank; shoreline construction;
31,CONZNE,Contiguous zone,"A zone contiguous to a coastal State's territorial sea, which may not extend beyond 24 nautical miles from the baselines from which the breadth of the territorial sea is measured.  The coastal state may exercise certain control in this zone subject to the provisions of International Law. (IHO Dictionary, S-32, 5th Edition, 993) ",administrative area; continental area; exclusive economic zone; fishing zone; territorial sea area;
32,COSARE,Continental shelf area,"The continental shelf of a coastal State comprises the sea bed and subsoil of the submarine areas that extend beyond its territorial sea throughout the natural prolongation of its land territory to the outer edge of the continental margin, or to a distance of 200 nautical miles from the baselines from which the breadth of the territorial sea is measured where the outer edge of the continental margin does not extend out to that distance. (IHO Publication S-51) ",administrative area; contiguous zone; exclusive economic zone; fishery zone; territorial sea area;
33,CTRPNT,Control point,"A point on the ground where position (horizontal and vertical) is used as a base for a dependent survey.  Also referred to as a control station. (IHO Dictionary, S-32, 5th Edition, 1026) ",Not specified
34,CONVYR,Conveyor,A mechanical apparatus for moving bulk material or people from place to place (as by a moving belt or chain of receptacles). ,"cable, overhead; pylon/bridge support; "
35,CRANES,Crane,"A machine for lifting, shifting and lowering objects or materials by means of a swinging boom or with a lifting apparatus supported on an overhead track. (Digital Geographic Information Working Group, Oct.87) ",Not specified
36,CURENT,Current - non-gravitational,"Currents (non-gravitational) include either singly or in combination: ocean currents (wind and/or density driven), inter-oceanic equalising currents, currents of navigable rivers, river outflow effects offshore and other non-tidal flows. ",various tidal stream prediciton models;
37,CUSZNE,Custom zone,The area within which national custom regulations are in force. ,check point; free port area;
38,DAMCON,Dam,"A barrier to check or confine anything in motion; particularly one constructed to hold back water and raise its level to form a reservoir, or to prevent flooding. (IHO Dictionary, S-32, 5th Edition, 1196) ",causeway; dyke; road;
39,DAYMAR,Daymark,"The identifying characteristics of an aid to navigation which serve to facilitate its recognition against a daylight viewing background. On those structures that do not by themselves present an adequate viewing area to be seen at the required distance, the aid is made more visible by affixing a daymark to the structure.  A daymark so affixed has a distinctive colour and shape depending on the purpose of the aid. (IHO Dictionary, S-32, 5th Edition, 1248) ",various beacons; topmark;
40,DWRTCL,Deep water route centerline,"A deep water route is a route in a designated area, within defined limits, which has been accurately surveyed for clearance of sea bottom and submerged obstacles to a minimum indicated depth of water. (IHO Dictionary, S-32, 5th Edition, 1280) The deep water route centerline indicates the centerline of a route, the width of which is not explicitly defined. ",deep water route part;
41,DWRTPT,Deep water route part,"A deep water route is a route in a designated area, within defined limits, which has been accurately surveyed for clearance of sea bottom and submerged obstacles to a minimum indicated depth of water. (IHO Dictionary, S-32, 5th Edition, 1280) ",deep water route centerline; two way route part;
42,DEPARE,Depth area,A depth area is a water area whose depth is within a defined range of values. ,various depth and navigational objects;
43,DEPCNT,Depth contour,"A line connecting points of equal water depth which is sometimes significantly displaced outside of soundings, symbols and other chart detail for clarity as well as generalization. Depth contours, therefore, often represent an approximate location of the line of equal depth as related to the surveyed line delineated on the source.  Also referred to as depth curve. (IHO Dictionary, S-32, 5th Edition, 1314, 1315) ",sounding; depth area; coastline;
44,DISMAR,Distance mark,A distance mark indicates the distance measured from an origin and consists of either a solid visible structure or a distinct location without special installation. Usually found on canals. ,"beacon, special purpose; "
45,DOCARE,Dock area,"A dock is an artificially enclosed area within which ships may moor and which may have gates to regulate water level (adapted from IHO Chart Specifications, M-4).",various harbour and dry/floating dock objects;
46,DRGARE,Dredged area,"An area of the bottom of a body of water which has been deepened by dredging. (IHO Dictionary, S-32, 5th Edition, 1462) ",depth area; dumping ground; swept area;
47,DRYDOC,Dry dock,"An artificial basin fitted with a gate or caisson, into which vessels can be floated and the water pumped out to expose the vessel's bottom.  Also called graving dock. (IHO Dictionary, S-32, 5th Edition, 1426) ",floating dock; gate; dock area; shoreline construction;
48,DMPGRD,Dumping ground,"A sea area where dredged material or other potentially more harmful material, e.g. explosives, chemical waste, is deliberately deposited. (Derived from IHO Chart Specifications, M-4). ",dredged area; incineration area;
49,DYKCON,Dyke,"A dyke (or dike) is an artificial embankment to contain or hold back water. (IHO Dictionary, S-32, 5th Edition, 1361) ",dam; sloping ground; slope top line;
50,EXEZNE,Exclusive economic zone,"An area, not exceeding 200 nautical miles from the baselines from which the breadth of the territorial sea is measured, subject to a specific legal regime established in the United Nations Convention on the Law of the Sea under which the coastal state has certain rights and jurisdiction. (IHO Dictionary, S-32, 5th Edition, 1723) ",various administrative and legal maritime zones; 
51,FAIRWY,Fairway,"That part of a river, harbour and so on, where the main navigable channel for vessels of larger size lies.  It is also the usual course followed by vessels entering or leaving harbours, called 'ship channel'. (International Maritime Dictionary, 2nd Ed.) ",deep water route; traffic separation scheme parts;
52,FNCLNE,Fence/wall,"A natural or man-made barrier used as an enclosure or boundary or for protection. (adapted from Digital Geographic Information Working Group, Oct.1987) ",Not specified
53,FERYRT,Ferry route,"A route in a body of water where a ferry crosses from one shoreline to another. (Digital Geographic Information Working Group, Oct.87) ",Not specified
54,FSHZNE,Fishery zone,"The offshore zone in which exclusive fishing rights and management are held by the coastal nation. (IHO Dictionary, S-32, 5th Edition, 1816) ",various administrative and legal maritime zones; restricted area;
55,FSHFAC,Fishing facility,A structure in shallow water for fishing purposes which can be an obstruction to ships in general. The position of these structures may vary frequently over time. ,marine farm/culture; obstruction;
56,FSHGRD,Fishing ground,"A water area in which fishing is frequently carried on. (IHO Dictionary, S-32, 5th Edition, 1814) ",fishery zone;
57,FLODOC,Floating dock,"A form of dry dock consisting of a floating structure of one or more sections which can be partly submerged by controlled flooding to receive a vessel, then raised by pumping out the water so that the vessel's bottom can be exposed. (IHO Dictionary, S-32, 5th Edition, 1427) ",dry dock; dock area;
58,FOGSIG,Fog signal,"A warning signal transmitted by a vessel, or aid to navigation, during periods of low visibility.  Also, the device producing such a signal. (IHO Dictionary, S-32, 5th Edition, 1890) ","signal station, warning; "
59,FORSTC,Fortified structure,A structure for the military defence of a site. ,building single;
60,FRPARE,Free port area,"A port where certain import and export duties are waived (unless goods pass into the country) to facilitate reshipment to other countries. (IHO Dictionary, S-32, 5th Edition, 1927) ",custom zone; production/storage area;
61,GATCON,Gate,"A structure that may be swung, drawn, or lowered to block an entrance or passageway. (United States Geological Survey, Jan.89) ",dry dock; floating dock;
62,GRIDRN,Gridiron,"A timber structure in the intertidal zone serving as a support for vessels at low stages of the tide to permit work on the exposed portion of the vessel's hull.  Also called careening grid. (adapted from IHO Dictionary, S-32, 5th Edition, 649) ",Not specified
63,HRBARE,Harbour area (administrative),The area over which a harbour authority has jurisdiction. ,dock area;
64,HRBFAC,Harbour facility,A harbour installation with a service or commercial operation of public interest. ,small craft facility;
65,HULKES,Hulk,A permanently moored ship. ,wreck;
66,ICEARE,Ice area,An area of ice over land or water. ,depth area; land area;
67,ICNARE,Incineration area,"An offshore area officially designated as suitable for the burning of chemical waste by specially equipped ships. (IHO Dictionary, S-32, 5th Edition, 2408) ",dumping ground;
68,ISTZNE,Inshore traffic zone,"A routeing measure comprising a designated area between the landward boundary of a traffic separation scheme and the adjacent coast, to be used in accordance with the provisions of the International Regulations for Preventing Collisions at Sea. (IHO Dictionary, S-32, 5th Edition, 2457) ",various traffic separation scheme elements; precautionary area; 
69,LAKARE,Lake,"A large body of water entirely surrounded by land. (IHO Dictionary, S-32, 5th Edition, 2629) ",canal; depth area; lake shore; river;
70,LAKSHR,Lake shore,The limit line between the water area of a lake and the area of land. ,canal bank; coastline; lake area; river bank; shoreline construction;
71,LNDARE,Land area,"The solid portion of the Earth=s surface, as opposed to sea, water. (IHO Dictionary, S-32, 5th Edition, 2635) ",various land and water regions; vegetation; shoreline construction;
72,LNDELV,Land elevation,"An elevation is the vertical distance of a point or a level, on, or affixed to, the surface of the earth, measured from a specified vertical datum. (IHO Dictionary, S-32, 5th Edition, 1590) ",slope top line;
73,LNDRGN,Land region,An area of natural scenery on land. It is defined by its geographical characteristics and may be known by its proper name. ,sea area; land area; vegetation;
74,LNDMRK,Landmark,"A prominent object at a fixed location which can be used in determining a location or a direction. (adapted from IHO Dictionary, S-32, 5th Edition, 2643). ",beacons; building; daymark; pylon; topmark;
75,LIGHTS,Light,"A luminous or lighted aid to navigation. (adapted from IHO Dictionary, S-32, 5th Edition, 2766) ","various beacons, buoys, and vessels; "
76,LITFLT,Light float,"A boat-like structure used instead of a light buoy in waters where strong streams or currents are experienced, or when a greater elevation than that of a light buoy is necessary (IHO Dictionary, S-32, 5th Edition, 2821). ",various buoys and light vessels;
77,LITVES,Light vessel,"A distinctively marked vessel anchored or moored at a charted point, to serve as an aid to navigation. By night, it displays a characteristic light(s) and is usually equipped with other devices, such as fog signal, submarine sound signal, and radio-beacon, to assist navigation.  Also called light ship. (IHO Dictionary, S-32, 5th Edition, 2828,2829) ","various beacons, buoys, and light floats; "
78,LOCMAG,Local magnetic anomaly,"An anomaly of the magnetic field of the Earth, extending over a relatively small area, due to local magnetic influences. (IHO Dictionary, S-32, 5th Edition, 2874, 2984) ",magnetic variation;
79,LOKBSN,Lock basin,"A lock basin is a wet dock in a waterway, permitting a ship to pass from one level to another. (adapted from IHO Dictionary, S-32, 5th Edition, 2881) ",gate;
80,LOGPON,Log pond,A maritime area enclosed with connected floating timbers used as a staging area for sawn logs. ,Not specified
81,MAGVAR,Magnetic variation,"The angle between the magnetic and geographic (true) north at a location, expressed in degrees east or west from the direction of true north. ",local magnetic anomaly;
82,MARCUL,Marine farm/culture,"An assemblage of cages, nets, rafts and floats or posts where fish, including shellfish, are artificially cultivated.  Also called fish farm. (IHO Dictionary, S-32, 5th Edition, 1811) ",fishing facility; obstruction;
83,MIPARE,Military practice area,"An area within which naval, military or aerial exercises are carried out.  Also called an exercise area. (adapted from IHO Dictionary, S-32, 5th Edition, 1722) ",caution area; restricted area; submarine transit lane;
84,MORFAC,Mooring/Warping facility,"The equipment or structure used to secure a vessel (adapted from IHO Dictionary, S-32, 5th Edition, 3322) ","buoy, special purpose/general; "
85,NAVLNE,Navigation line,"A navigation line is a straight line extending towards an area of navigational interest and generally generated by two navigational aids or one navigational aid and a bearing. (Service Hydrographique et Océanographique de la Marine, France) ",recommended route; recommended track;
86,OBSTRN,Obstruction,"In marine navigation, anything that hinders or prevents movement, particularly anything that endangers or prevents passage of a vessel. The term is usually used to refer to an isolated danger to navigation... (IHO Dictionary, S-32, 5th Edition, 3503) ",wreck; fishing facility; farm; depth area; rock; turbulence;
87,OFSPLF,Offshore platform,"A permanent offshore structure, either fixed or floating, used in the production of oil or natural gas. (IHO Dictionary, S-32, 5th Edition, 3895) ","buoy, installation; offshore production area; "
88,OSPARE,Offshore production area,An area at sea within which there are production facilities. ,offshore platform; exclusive economic zone;
89,OILBAR,Oil barrier,A construction to dam oil flow on water. ,Not specified
90,PILPNT,Pile,"A long heavy timber or section of steel, wood, concrete, etc.. forced into the earth which may serve as a support, as for a pier, or a free standing pole within a marine environment. (Adapted from IHO Dictionary, S-32, 5th Edition, 3840) ",various beacons; mooring/warping facility;
91,PILBOP,Pilot boarding place,"The meeting place to which the pilot comes out. (IHO Chart Specifications, M-4) ",Not specified
92,PIPARE,Pipeline area,An area containing one or more pipelines. ,"pipeline, overhead; pipeline, submarine/on land; "
93,PIPOHD,"Pipeline, overhead","A pipeline is a string of interconnected pipes used for the transport of matter, nowadays mainly oil or gas. (IHO Dictionary, S-32, 5th Edition, 3857) An overhead pipeline is a pipeline supported by pylons and passing over or nearby navigable waters. ","pipeline area; pipeline, submarine/on land; "
94,PIPSOL,"Pipeline, submarine/on land","A pipeline is a string of interconnected pipes used for the transport of matter, nowadays mainly oil or gas. (IHO Dictionary, S-32, 5th Edition, 3857) A submarine or land pipeline is a pipeline lying on or buried under the seabed or the land. ","pipeline area; pipeline, overhead; "
95,PONTON,Pontoon,"A floating structure, usually rectangular in shape which serves as landing, pier head or bridge support. (IHO Dictionary, S-32, 5th Edition, 3947) ",bridge; mooring/warping facility; shoreline construction;
96,PRCARE,Precautionary area,"A routeing measure comprising an area within defined limits where ships must navigate with particular caution and within which the direction of traffic flow may be recommended. (IHO Dictionary, S-32, 5th Edition, 3982) ",caution area; inshore traffic zone; TSS elements;
97,PRDARE,Production/storage area,An area on land for the exploitation or storage of natural resources. ,free port area; offshore production area;
98,PYLONS,Pylon/bridge support,"A vertical construction consisting, for example, of a steel framework or pre-stressed concrete to carry cables, a bridge, etc. ",Not specified
99,RADLNE,Radar line,"A track along which ships may be guided by coastal radar stations in the event of bad visibility.  Also known as a radar guided track. (IHO Dictionary, S-32, 5th Edition, 4146). ",radar range; recommended track;
100,RADRNG,Radar range,"Indicates the coverage of a sea area by a radar surveillance station. Inside this area a vessel may request shore-based radar assistance, particularly in poor visibility. ",radar line;
101,RADRFL,Radar reflector,"A device capable of, or intended for, reflecting radar signals. (IHO Dictionary, S-32, 5th Edition, 4147)  A radar reflector is usually a >tetrahedron or pentagonal corner reflector (...) to facilitate reflection towards the sender=. (International Maritime Dictionary, 2nd Ed.) ",retro-reflector;
102,RADSTA,Radar station,"A station with a transmitter emitting pulses of ultra-high frequency radio waves which are reflected by solid objects and are detected upon their return to the sending station. (International Maritime Dictionary, 2nd Ed.) ",radar line; radar range; radar transponder beacon;
103,RTPBCN,Radar transponder beacon,"A transponder beacon transmitting a coded signal on radar frequency, permitting an interrogating craft to determine the bearing and range of the transponder.  Also called racon. (IHO Dictionary, S-32, 5th Edition, 4137) ",radar line; radar range; radar station;
104,RDOCAL,Radio calling-in point,"Also called radio reporting points, they have been established in certain busy waterways and port approaches to assist traffic control.  On passing these points or crossing a defined line vessels are required to report on VHF to a Traffic Control Centre. (adapted from IHO Chart Specifications, M-4) ",radio station; pilot boarding place;
105,RDOSTA,Radio station,"A place equipped to transmit radio waves. Such a station may be either stationary or mobile, and may also be provided with a radio receiver.  In British terminology, also called w/t station. (IHO Dictionary, S-32, 5th Edition, 4191) ",radio calling in point; radar station;
106,RAILWY,Railway,"A rail or set of parallel rails on which a train or tram runs. (Digital Geographic Information Working Group, Oct.87) ",road; tunnel;
107,RAPIDS,Rapids,"Portions of a stream with accelerated current where it descends rapidly but without a break in the slope of the bed sufficient to form a waterfall.  Usually used in the plural. (IHO Dictionary, S-32, 5th Edition, 4228) ",currents; tidal stream models; turbulence; waterfall;
108,RCRTCL,Recommended route centerline,"A recommended route is a route of undefined width, for the convenience of ships in transit, which is often marked by centerline buoys. (IHO Dictionary, S-32, 5th Edition, 4448) The recommended route centerline indicates the >centerline= of a recommended route. ",recommended traffic lane part; recommended track;
109,RECTRC,Recommended track,"A track recommended to all or only certain vessels. (IHO Dictionary, S-32, 5th Edition, 5576) ",navigation line; recommended routes;
110,RCTLPT,Recommended traffic lane part,"An optional part of an IMO-adopted routing measure.... Several Hydrographic Offices, in consultation with their Ministries of Transport, have added recommended directions in areas such as the outer approaches to major ports in order to show the best routes for crossing traffic or to minimize head-on encounters.(...) (IHO Chart Specifications, M-4) ",various TSS lane parts and routes;
111,RSCSTA,Rescue station,"A place at which life saving equipment is held. (IHO Chart Specifications, M-4) ",beacon; building; coastguard station;
112,RESARE,Restricted area,"A specified area designated by an appropriate authority within which navigation is restricted in accordance with certain specified conditions. (adapted from IHO Dictionary, S-32, 5th Edition, 4366) ",various maritime and routing areas;
113,RETRFL,Retro-reflector,"A means of distinguishing unlighted marks at night. Retro-reflective material is secured to the mark in a particular pattern to reflect back light. (Adapted from the UKHO NP735, 5th Edition). ",various beacons and buoys; radar reflector; 
114,RIVERS,River,"A relatively large natural stream of water. (IHO Dictionary, S-32, 5th Edition, 4405) ",canal; lake; river bank; sea area; tideway;
115,RIVBNK,River bank,The limit line between the water area of a river and the area of land. ,canal bank; coastline; lake shore; river; shoreline construction;
116,ROADWY,Road,"A road is an open way for the passage of vehicles. (United States Geological Survey, Jan.89) ",causeway; railway; square;
117,RUNWAY,Runway,"A defined rectangular area, on a land aerodrome, prepared for the landing and take-off run of aircraft along its length. (IHO Dictionary, S-32, 5th Edition, 4465)  A site on which helicopters may land and take off. (IHO Dictionary, S-32, 5th Edition, 2232) ",airport area;
118,SNDWAV,Sand waves,"A large mobile wave-like sediment feature in shallow water and composed of sand. The wavelength may reach 100 metres, the amplitude may be up to 20 metres. ",seabed area;
119,SEAARE,Sea area/named water area,A geographically defined part of the sea or other navigable waters. It may be specified within its limits by its proper name. ,depth area; seabed area;
120,SPLARE,Sea-plane landing area,A designated portion of water for the landing and take-off of sea-planes. ,airport area;
121,SBDARE,Seabed area,"An area of the sea where the nature of bottom is homogeneous. The nature of bottom includes the material of which it is composed and its physical characteristics.  Also called character (or characteristics) of the bottom, or quality of the bottom. (IHO Dictionary, S 32, 5th Edition, 515). ",sand wave; sea area; weed/kelp;
122,SLCONS,Shoreline construction,"A fixed (not afloat) artificial structure between the water and the land, i.e. a man-made coastline. ",various banks and coastlines; land area; pontoon;
123,SISTAT,"Signal station, traffic","A signal station is a place on shore from which signals are made to ships at sea. (IHO Dictionary, S 32, 5th Edition, 4742)  Traffic signal stations regulate the movement of traffic. (IHO Chart Specifications, M-4) ","signal station, warning; "
124,SISTAW,"Signal station, warning","A signal station is a place on shore from which signals are made to ships at sea. (IHO Dictionary, S 32, 5th Edition, 4742) ","signal station, traffic; "
125,SILTNK,Silo/tank,"An enclosed container, used for storage (Digital Geographic Information Working Group, Oct.87) ",landmark; production/storage area;
126,SLOTOP,Slope topline,"The upper marking of a slope, e.g. the ridge line or the separation line between two different gradients. ",land elevation; sloping ground;
127,SLOGRD,Sloping ground,"An inclined surface (adapted from IHO Dictionary, S-32, 5th Edition, 4776). ",slope topline;
128,SMCFAC,Small craft facility,A place at which a service generally of interest to small craft or pleasure boats is available. ,building; harbour facility; shoreline construction;
129,SOUNDG,Sounding,A measured water depth or spot which has been reduced to a vertical datum (may be a drying height). ,depth area; wreck; rock; obstruction;
130,SPRING,Spring,"A natural issue of water or other substances from the earth.  One on the bottom of the sea is called a submarine spring. (IHO Dictionary, S-32, 5th Edition, 4939) ",Not specified
131,SQUARE,Square,An open area within a built-up area surrounded by roads. ,"road; built-up area; building, single; "
132,STSLNE,Straight territorial sea baseline,"A baseline is the line from which the outer limits of the territorial sea and certain other outer limits are measured. (IHO Dictionary, S-32, 5th Edition, 390)  Straight baselines are a system of straight lines joining specified or discrete points on the low-water line, usually known as straight baseline turning points. (IHO Dictionary, S-32, 5th Edition, 393) ",Not specified
133,SUBTLN,Submarine transit lane,An area where submarines may navigate under water or at the surface. ,military practice area;
134,SWPARE,Swept Area,"An area that has been determined to be clear of navigational dangers to a specified depth (adapted from IHO Dictionary, S-32, 5th Edition, 5248). ",depth area; dredged area; unsurveyed area;
135,TESARE,Territorial sea area,"The territorial sea is a belt of water of a defined breadth but not exceeding 12 nautical miles measured seaward from the territorial sea baseline. (IHO Dictionary, S-32, 5th Edition, 5360) ",various administrative and legal maritime zones;
160,TS_FEB,Tidal stream - flood/ebb,"A tidal stream (or tidal current) is a horizontal movement of water associated with the rise and fall of the tide caused by tide-producing forces. (Adapted from IHO Dictionary, S-32, 5th Edition) Approximate tidal stream rates may be given as discrete rate values for flood and ebb flow during springs. ",various tidal stream prediction models;
136,TS_PRH,Tidal stream - harmonic prediction,"A tidal stream (or tidal current) is an alternating horizontal movement of water associated with the rise and fall of the tide caused by tide-producing forces. (IHO Dictionary, S-32, 5th Edition, 1169) Predicted tidal stream rates may be calculated using parameters (harmonic constituents) and an appropriate harmonic calculation algorithm. ",various tidal stream models and data;
137,TS_PNH,Tidal stream - non-harmonic prediction,"A tidal stream (or tidal current) is an alternating horizontal movement of water associated with the rise and fall of the tide caused by tide-producing forces. (IHO Dictionary, S-32, 5th Edition, 1169) Predicted tidal stream rates may be calculated using time and rate differences with respect to a reference station (and associated tidal stream predictions). ",various tidal stream models and data;
138,TS_PAD,Tidal stream panel data,"A tidal stream (or tidal current) is an alternating horizontal movement of water associated with the rise and fall of the tide caused by tide-producing forces. (IHO Dictionary, S-32, 5th Edition, 1169) Approximate tidal stream rates may be given as discrete rate values at a specified interval before or after a high water. ",various tidal stream models and data;
139,TS_TIS,Tidal stream - time series,"A tidal stream (or tidal current) is an alternating horizontal movement of water associated with the rise and fall of the tide caused by tide-producing forces. (IHO Dictionary, S-32, 5th Edition, 1169) Tidal stream rates over time may be approximated by a series of rate values given at regular time intervals, starting from a specified moment in time. ",various tidal stream models and data;
